EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction,Tenure
177,Victoria Parker,45395,Production Technician I,MA,1986-07-07,F,Single,2014-01-06,Active,Production       ,LinkedIn,Fully Meets,4,4,11.753424657534246
178,Alexander Jenkins,62385,Production Technician II,MA,1976-08-25,F,Married,2016-05-11,Active,Production       ,LinkedIn,Fully Meets,5,3,9.408219178082192
179,Lucy Bell,68407,Production Technician II,MA,1986-12-10,F,Married,2011-07-05,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,4,14.263013698630138
180,Daniel Ramirez,61349,Production Technician I,MA,2074-11-07,F,Married,2013-11-11,Active,Production       ,LinkedIn,Fully Meets,4,3,11.906849315068493
181,Stella Nelson,105688,Software Engineer,MA,1987-11-07,F,Single,2013-11-11,Active,Engineering,Google Search,Fully Meets,4,5,11.906849315068493
182,Jackson Cox,54132,Production Technician I,MA,1977-11-22,F,Married,2011-05-31,Active,Production       ,Indeed,Fully Meets,5,4,14.35890410958904
183,Isabella Simmons,55315,Production Technician II,MA,1987-05-21,F,Single,2015-03-30,Active,Production       ,LinkedIn,Fully Meets,5,5,10.526027397260274
184,Noah Ward,62810,Production Technician I,MA,1987-01-07,F,Married,2013-01-07,Active,Production       ,CareerBuilder,Fully Meets,3,3,12.75068493150685
185,Riley Rodriguez,63291,Area Sales Manager,TX,1984-07-01,M ,Married,2016-07-06,Active,Sales,Website,Fully Meets,3,4,9.254794520547945
186,Aiden Gray,62659,Production Technician I,MA,2068-05-30,F,Single,2012-04-02,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4,4,13.517808219178082
187,Aurora Hayes,55688,Production Technician I,MA,1976-09-22,F,Single,2015-03-30,Active,Production       ,CareerBuilder,Fully Meets,5,4,10.526027397260274
188,Carter Richardson,83667,Production Manager,MA,1981-08-10,M ,Single,2012-08-16,Active,Production       ,Indeed,Fully Meets,4,3,13.145205479452056
189,Penelope Evans,55800,Production Technician II,MA,1985-06-29,M ,Single,2011-08-15,Voluntarily Terminated,Production       ,LinkedIn,PIP,3,2,14.150684931506849
190,Logan Taylor,58207,Production Technician II,MA,1992-08-17,M ,Married,2011-11-07,Active,Production       ,LinkedIn,Fully Meets,3,3,13.92054794520548
191,Harper Morris,157000,IT Manager - Infra,MA,1986-10-05,M ,Married,2012-02-15,Active,IT/IS,Diversity Job Fair,Needs Improvement,2,3,13.646575342465754
192,Matthew Green,72460,Production Technician II,MA,2070-04-24,F,Single,2013-05-13,Active,Production       ,Indeed,Exceeds,4,3,12.405479452054795
193,Zoey Baker,72106,Production Technician II,MA,1976-12-03,M ,Single,2012-01-09,Active,Production       ,Diversity Job Fair,Fully Meets,4,4,13.747945205479452
194,David Phillips,52599,Network Engineer,MA,1979-04-04,F,Married,2015-02-16,Active,IT/IS,CareerBuilder,Fully Meets,3,3,10.64109589041096
195,Mila Butler,63430,Production Technician I,MA,1984-07-07,F,Divorced,2013-04-01,Active,Production       ,LinkedIn,Fully Meets,4,4,12.520547945205479
196,Joseph King,74417,Production Technician II,MA,2074-12-01,M ,Separated,2013-05-13,Active,Production       ,LinkedIn,Fully Meets,4,5,12.405479452054795
197,Avery Coleman,57575,Production Technician I,MA,1980-04-18,M ,Single,2013-07-08,Active,Production       ,LinkedIn,Fully Meets,4,4,12.252054794520548
198,Sebastian Smith,87921,Senior BI Developer,MA,2070-04-25,M ,Single,2017-02-10,Active,IT/IS,Indeed,Fully Meets,5,3,8.654794520547945
199,Eleanor White,50470,Production Technician I,MA,1989-05-02,M ,Single,2011-09-26,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4,3,14.035616438356165
200,Leo Turner,46664,Production Technician I,MA,1983-03-28,M ,Married,2013-04-01,Voluntarily Terminated,Production       ,Employee Referral,Fully Meets,3,3,12.520547945205479
201,Addison Adams,48495,Production Technician I,MA,1977-04-08,M ,Married,2014-05-12,Active,Production       ,LinkedIn,Fully Meets,5,5,11.408219178082192
202,Andrew Martin,52984,Production Technician I,MA,2067-06-03,F,Separated,2013-04-01,Active,Production       ,Diversity Job Fair,Exceeds,4,3,12.520547945205479
203,Brooklyn Peterson,63695,Area Sales Manager,GA,1989-03-31,F,Single,2013-07-08,Active,Sales,Indeed,Fully Meets,5,5,12.252054794520548
204,Nathan Clark,62061,Production Technician I,MA,1984-07-07,F,Single,2013-07-08,Active,Production       ,LinkedIn,Fully Meets,3,5,12.252054794520548
205,Leah Morris,66738,Production Technician II,MA,1985-11-23,F,Single,2014-11-10,Active,Production       ,Indeed,Fully Meets,4,5,10.90958904109589
206,Jack Hill,52674,Production Technician I,MA,1980-09-30,F,Single,2014-03-31,Terminated for Cause,Production       ,LinkedIn,PIP,2,2,11.523287671232877
207,Grace Ross,71966,Production Technician II,MA,2052-02-11,F,Married,2012-05-14,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,3,13.402739726027397
208,Ryan Mitchell,63051,Area Sales Manager,FL,1990-05-11,F,Single,2013-09-30,Active,Sales,Indeed,Fully Meets,4,3,12.021917808219179
209,Madison Collins,47414,Production Technician I,MA,1976-12-11,M ,Married,2013-09-30,Active,Production       ,LinkedIn,Exceeds,5,3,12.021917808219179
210,Gabriel Thompson,53060,Production Technician I,MA,1979-11-24,M ,Single,2014-02-17,Active,Production       ,LinkedIn,Needs Improvement,4,3,11.638356164383561
211,Emily Cooper,68829,Area Sales Manager,NC,1982-05-19,M ,Single,2015-01-05,Active,Sales,Website,Fully Meets,5,5,10.756164383561643
212,Dylan Martinez,63515,Production Technician I,MA,1979-05-01,F,Married,2011-02-07,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3,4,14.668493150684931
213,Hazel Watson,108987,Software Engineer,MA,1979-02-20,M ,Single,2011-11-07,Voluntarily Terminated,Engineering,Diversity Job Fair,Exceeds,5,5,13.92054794520548
214,Zachary Stewart,93093,Data Analyst,MA,1984-09-05,M ,Married,2014-12-01,Voluntarily Terminated,IT/IS,Employee Referral,Fully Meets,4,4,10.852054794520548
215,Audrey Anderson,53564,Production Technician I,MA,1988-03-17,M ,Single,2011-01-10,Voluntarily Terminated,Production       ,Google Search,Needs Improvement,3,5,14.745205479452055
216,William Murphy,60270,Production Technician II,MA,1989-07-18,F,Married,2011-07-05,Voluntarily Terminated,Production       ,CareerBuilder,Needs Improvement,2,5,14.263013698630138
217,Scarlett Mitchell,45998,Production Technician I,MA,1986-07-20,F,Single,2011-05-16,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,3,4,14.4
218,Samuel Campbell,57954,Production Technician II,MA,1986-08-17,F,Married,2011-05-16,Voluntarily Terminated,Production       ,Indeed,Exceeds,4,5,14.4
219,Lila Bennett,74669,Production Manager,MA,1977-05-09,F,Married,2010-10-25,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4,5,14.956164383561644
220,Oliver Sanchez,74226,Production Technician II,MA,1979-03-10,F,Married,2012-04-02,Active,Production       ,LinkedIn,Fully Meets,4,3,13.517808219178082
221,Victoria Roberts,93554,Data Analyst,MA,1984-09-16,F,Married,2014-11-10,Active,IT/IS,Employee Referral,Exceeds,4,5,10.90958904109589
222,Daniel Foster,64724,Production Technician I,MA,1988-03-06,M ,Married,2011-07-05,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5,3,14.263013698630138
223,Stella Henderson,47001,Production Technician I,MA,1981-11-23,M ,Single,2007-11-05,Active,Production       ,Google Search,Fully Meets,3,3,17.92876712328767
224,James Clarke,61844,Area Sales Manager,KY,1988-08-29,F,Married,2012-01-09,Active,Sales,Website,Fully Meets,4,5,13.747945205479452
225,Ava Lewis,46799,Production Technician I,MA,1984-10-15,F,Divorced,2011-05-16,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3,4,14.4
226,Ethan Rivera,59472,Production Technician I,MA,2061-06-19,M ,Single,2014-01-06,Active,Production       ,Employee Referral,Fully Meets,4,3,11.753424657534246
227,Sophia Price,46430,Production Technician I,MA,2070-09-22,F,Divorced,2012-09-24,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4,5,13.038356164383561
228,Elijah Adams,83363,Software Engineer,MA,1984-11-06,M ,Married,2011-02-21,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4,4,14.63013698630137
229,Lily Bryant,95920,BI Developer,MA,1980-05-12,F,Married,2016-10-02,Active,IT/IS,Indeed,Fully Meets,4,4,9.013698630136986
230,Gabriel Carter,61729,Production Technician I,MA,1984-12-31,M ,Divorced,2011-09-26,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3,5,14.035616438356165
231,Chloe Hughes,61809,Area Sales Manager,ID,2054-10-12,M ,Married,2014-05-12,Active,Sales,CareerBuilder,Fully Meets,3,3,11.408219178082192
232,Owen Turner,45115,Production Technician I,MA,1982-07-22,M ,Divorced,2011-05-16,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,4,14.4
233,Grace Reed,46738,Production Technician I,MA,2073-01-12,F,Married,2011-11-28,Active,Production       ,Google Search,Exceeds,4,5,13.863013698630137
234,Isaac Morgan,64971,Production Technician II,MA,1981-09-05,F,Divorced,2011-09-26,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4,4,14.035616438356165
235,Olivia Wright,55578,Production Technician II,MA,2072-07-03,M ,Married,2011-07-05,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4,5,14.263013698630138
236,Benjamin Gonzalez,50428,Production Technician I,MA,2074-01-07,M ,Married,2011-01-10,Voluntarily Terminated,Production       ,Indeed,Fully Meets,5,3,14.745205479452055
237,Harper Parker,61422,Production Technician I,MA,1985-01-07,F,Married,2011-01-10,Terminated for Cause,Production       ,Indeed,Needs Improvement,3,3,14.745205479452055
238,Mason Jenkins,63353,Production Technician I,MA,1985-01-28,M ,Widowed,2013-07-08,Active,Production       ,Employee Referral,Exceeds,3,5,12.252054794520548
239,Amelia Bell,89883,Data Analyst,MA,1981-10-11,F,Married,2015-02-16,Active,IT/IS,Employee Referral,Fully Meets,3,5,10.64109589041096
240,Samuel Ramirez,120000,Principal Data Architect,MA,2073-05-27,F,Single,2015-01-05,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,3,3,10.756164383561643
241,Ava Nelson,150290,Data Architect,MA,2072-11-21,F,Single,2017-01-07,Active,IT/IS,Indeed,Fully Meets,4,3,8.747945205479452
242,Julian Cox,60627,Production Technician I,MA,2074-12-05,F,Separated,2014-01-06,Active,Production       ,Website,Fully Meets,5,4,11.753424657534246
243,Emily Simmons,53180,Production Technician I,MA,1987-03-18,M ,Single,2011-04-04,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5,5,14.515068493150684
244,Liam Ward,140920,IT Manager - DB,MA,2073-04-05,M ,Single,2013-01-20,Active,IT/IS,Indeed,Fully Meets,3,5,12.715068493150685
245,Abigail Rodriguez,148999,IT Manager - DB,MA,2064-01-04,M ,Divorced,2012-01-09,Voluntarily Terminated,IT/IS,Diversity Job Fair,Fully Meets,4,4,13.747945205479452
246,Caleb Gray,86214,Software Engineer,MA,1986-07-24,F,Married,2012-11-05,Active,Engineering,Indeed,Fully Meets,4,3,12.923287671232877
247,Sofia Hayes,47750,Production Technician I,MA,2068-06-06,F,Single,2016-07-04,Active,Production       ,Diversity Job Fair,Needs Improvement,2,4,9.26027397260274
248,Henry Richardson,46428,Production Technician I,MA,2074-12-21,M ,Single,2009-01-05,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4,5,16.75890410958904
249,Victoria Evans,57975,Production Technician II,MA,1986-04-26,M ,Married,2010-08-30,Active,Production       ,CareerBuilder,Fully Meets,4,3,15.10958904109589
250,Alexander Green,88527,Data Analyst ,MA,1987-12-17,M ,Divorced,2015-01-05,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,4,3,10.756164383561643
251,Lucy Baker,56147,Production Technician I,MA,1988-07-10,F,Married,2014-09-29,Active,Production       ,LinkedIn,Fully Meets,3,3,11.024657534246575
252,Kwame Adu,50923,Production Technician I,MA,1975-03-10,F,Single,2013-09-30,Active,Production       ,Google Search,Fully Meets,5,5,12.021917808219179
253,Abena Mensah,50750,Network Engineer,MA,1981-04-14,F,Married,2014-09-30,Active,IT/IS,LinkedIn,Fully Meets,3,3,11.021917808219179
254,Kofi Osei,52087,Production Technician I,MA,1985-08-24,F,Married,2013-08-19,Active,Production       ,LinkedIn,Fully Meets,4,4,12.136986301369863
255,Akua Boateng,87826,Data Analyst,MA,2070-02-08,M ,Married,2015-01-05,Active,IT/IS,Employee Referral,Fully Meets,3,3,10.756164383561643
256,Nana Acheampong,51920,Administrative Assistant,MA,1988-05-19,F,Single,2015-05-01,Active,Admin Offices,Website,Fully Meets,5,3,10.438356164383562
257,Esi Amponsah,63878,Production Technician II,MA,1987-11-25,F,Single,2009-10-26,Voluntarily Terminated,Production       ,CareerBuilder,Fully Meets,4,4,15.953424657534246
258,Kwadwo Owusu,60656,Production Technician II,MA,2063-10-30,M ,Single,2014-09-29,Active,Production       ,Indeed,Exceeds,4,3,11.024657534246575
259,Ama Gyasi,72992,Sales Manager,MA,1984-08-16,M ,Divorced,2014-05-18,Active,Sales,Diversity Job Fair,Needs Improvement,2,4,11.391780821917807
260,Kojo Ansah,55000,Administrative Assistant,MA,1987-06-14,F,Married,2011-09-26,Voluntarily Terminated,Admin Offices,Diversity Job Fair,Fully Meets,3,4,14.035616438356165
261,Yaa Appiah,58939,Production Technician I,MA,2065-02-02,F,Single,2013-11-11,Active,Production       ,Employee Referral,Fully Meets,3,3,11.906849315068493
262,Kwesi Mensah,66593,IT Support,MA,2073-03-12,F,Married,2011-06-10,Active,IT/IS,LinkedIn,Fully Meets,4,3,14.331506849315069
263,Afia Darko,87565,Sr. Network Engineer,MA,1983-02-09,M ,Married,2016-06-30,Active,IT/IS,LinkedIn,Fully Meets,3,4,9.271232876712329
264,Kwabena Boateng,64021,Production Technician I,MA,2068-07-20,F,Married,2012-02-20,Active,Production       ,Indeed,PIP,2,2,13.632876712328768
265,Adwoa Agyemang,65714,Production Manager,MA,1975-09-30,F,Married,2012-10-02,Active,Production       ,LinkedIn,Fully Meets,4,5,13.016438356164384
266,Nii Tetteh,62425,Production Technician I,MA,2073-03-26,F,Divorced,2013-05-13,Voluntarily Terminated,Production       ,LinkedIn,Exceeds,4,4,12.405479452054795
267,Maa Anokye,47961,Production Technician I,MA,1982-08-25,F,Divorced,2011-01-10,Active,Production       ,Google Search,Fully Meets,4,4,14.745205479452055
268,Kweku Asante,58273,Area Sales Manager,NV,2074-05-09,M ,Married,2014-05-12,Active,Sales,Website,PIP,1,2,11.408219178082192
269,Aba Obeng,63003,Accountant I,MA,1986-09-01,M ,Single,2014-09-29,Active,Admin Offices,Indeed,Fully Meets,3,5,11.024657534246575
270,Kwaku Ofori,61355,Production Technician I,MA,1985-03-14,M ,Married,2014-02-17,Active,Production       ,LinkedIn,Fully Meets,4,3,11.638356164383561
271,Akosua Adu,60120,Area Sales Manager,MT,1989-05-12,F,Married,2010-09-27,Active,Sales,Indeed,Fully Meets,4,4,15.032876712328767
272,Kobby Osei,63682,Production Manager,MA,1978-03-28,F,Married,2009-01-08,Active,Production       ,Indeed,Fully Meets,3,4,16.75068493150685
273,Adwoa Asare,63025,Production Technician I,MA,1982-10-07,M ,Married,2015-01-05,Active,Production       ,Google Search,Fully Meets,4,5,10.756164383561643
274,Kojo Amoah,59238,Production Technician I,MA,2068-08-15,F,Single,2012-05-14,Active,Production       ,Indeed,Fully Meets,3,5,13.402739726027397
275,Efia Yeboah,92989,Software Engineer,MA,1983-05-06,M ,Single,2014-07-07,Active,Engineering,LinkedIn,Exceeds,4,5,11.254794520547945
276,Kwame Addo,90100,BI Developer,MA,1987-10-24,M ,Married,2017-04-20,Active,IT/IS,Indeed,Fully Meets,3,3,8.465753424657533
277,Akua Owusu,60754,Production Technician I,MA,1975-04-03,F,Married,2009-04-27,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4,5,16.45205479452055
278,Kwesi Acheampong,72202,Production Technician II,MA,2053-05-24,F,Married,2011-05-16,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3,3,14.4
279,Ama Mensah,58370,Area Sales Manager,OR,2065-05-07,F,Single,2014-09-29,Active,Sales,Indeed,Fully Meets,3,3,11.024657534246575
280,Nana Boateng,48413,Production Technician I,MA,2065-05-09,F,Single,2011-07-05,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3,4,14.263013698630138
281,Esi Amankwah,67176,Production Technician II,MA,1975-09-16,M ,Widowed,2007-06-25,Voluntarily Terminated,Production       ,Other,Fully Meets,4,4,18.293150684931508
282,Kofi Appiah,56339,Production Technician I,MA,2067-06-05,F,Divorced,2013-02-18,Active,Production       ,Indeed,Fully Meets,4,5,12.635616438356164
283,Abena Adjei,64397,Area Sales Manager,ND,2068-01-15,M ,Separated,2006-01-09,Active,Sales,Indeed,Exceeds,4,3,19.75068493150685
284,Kojo Ampofo,63025,Production Technician I,MA,1983-05-16,F,Single,2014-02-17,Active,Production       ,LinkedIn,Needs Improvement,2,5,11.638356164383561
285,Yaa Ansah,75281,Network Engineer,MA,1988-05-05,M ,Married,2015-01-05,Voluntarily Terminated,IT/IS,CareerBuilder,Fully Meets,5,3,10.756164383561643
286,Kwadwo Darko,100416,Software Engineer,MA,1983-06-14,M ,Single,2013-02-18,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4,3,12.635616438356164
287,Akua Addo,74813,Production Technician II,MA,1985-03-15,F,Single,2011-01-10,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,4,3,14.745205479452055
288,Kweku Agyemang,76029,Network Engineer,MA,2069-03-31,M ,Married,2015-03-30,Active,IT/IS,Employee Referral,Fully Meets,5,4,10.526027397260274
289,Afia Mensah,57859,Area Sales Manager,AZ,1991-05-23,F,Married,2011-07-05,Active,Sales,Indeed,Fully Meets,2,3,14.263013698630138
290,Kwabena Osei,58523,Production Technician I,MA,1987-01-31,M ,Divorced,2012-08-13,Voluntarily Terminated,Production       ,LinkedIn,Exceeds,4,5,13.153424657534247
291,Ama Gyamfi,88976,Production Manager,MA,2068-10-10,M ,Divorced,2011-08-01,Active,Production       ,Employee Referral,Fully Meets,3,3,14.189041095890412
292,Nii Amponsah,55875,Area Sales Manager,ME,1989-07-11,M ,Single,2012-03-05,Active,Sales,Website,Fully Meets,4,4,13.594520547945205
293,Adwoa Boateng,113999,Database Administrator,MA,1986-08-07,M ,Married,2015-02-16,Terminated for Cause,IT/IS,Employee Referral,Fully Meets,4,3,10.64109589041096
294,Kobby Asamoah,49773,Production Technician I,MA,1986-06-03,F,Married,2011-09-26,Terminated for Cause,Production       ,Google Search,Exceeds,4,5,14.035616438356165
295,Akosua Badu,62068,Production Technician I,MA,1985-04-06,F,Single,2015-07-05,Active,Production       ,LinkedIn,Fully Meets,3,3,10.26027397260274
296,Kwaku Nkrumah,66541,Production Technician II,MA,1976-02-10,M ,Single,2014-08-18,Active,Production       ,Employee Referral,Fully Meets,3,5,11.139726027397261
297,Aba Agyei,80512,Production Manager,MA,2055-11-14,F,Married,2011-09-26,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4,3,14.035616438356165
298,Kwame Bonsu,50274,Production Technician I,MA,1980-08-02,F,Single,2012-08-13,Voluntarily Terminated,Production       ,CareerBuilder,Needs Improvement,2,3,13.153424657534247
299,Kojo Anane,84903,Senior BI Developer,MA,1981-07-08,M ,Single,2017-02-15,Active,IT/IS,Indeed,Fully Meets,3,4,8.64109589041096
300,Efia Owusu,107226,Sr. Network Engineer,MA,1978-05-02,F,Widowed,2015-03-30,Active,IT/IS,Employee Referral,Fully Meets,4,4,10.526027397260274
301,Kwesi Arthur,58371,Production Technician I,MA,1987-05-24,M ,Single,2011-01-10,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,5,14.745205479452055
302,Akua Anokye,55140,Production Technician I,MA,2065-09-09,M ,Married,2011-05-16,Voluntarily Terminated,Production       ,Website,Fully Meets,5,3,14.4
303,Kwabena Asamoah,58062,Production Technician I,MA,1983-07-30,F,Divorced,2011-01-10,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3,5,14.745205479452055
304,Ama Asante,59728,Production Technician I,MA,2069-10-02,F,Single,2012-01-09,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4,4,13.747945205479452
305,Kofi Mensah,70507,Production Technician II,MA,2058-11-07,M ,Single,2013-01-07,Voluntarily Terminated,Production       ,LinkedIn,Exceeds,5,3,12.75068493150685
306,Abena Yeboah,60446,Production Technician II,MA,1985-04-20,F,Single,2014-09-29,Active,Production       ,LinkedIn,Fully Meets,3,4,11.024657534246575
307,Nana Asare,65893,Production Technician II,MA,1985-05-11,M ,Single,2014-07-07,Active,Production       ,LinkedIn,Fully Meets,4,4,11.254794520547945
308,Yaa Yeboah,48513,Production Technician I,MA,1982-05-04,F,Single,2008-09-02,Voluntarily Terminated,Production       ,Google Search,PIP,3,2,17.101369863013698
309,Kojo Ofori,220450,CIO,MA,1979-08-30,F,Single,2010-04-10,Active,IT/IS,Employee Referral,Exceeds,4,5,15.498630136986302
310,Esi Amoako,89292,Data Analyst,MA,1979-02-24,F,Single,2015-03-30,Active,IT/IS,Employee Referral,Fully Meets,5,3,10.526027397260274
311,Kweku Annan,45046,Production Technician I,MA,1978-08-17,F,Widowed,2014-09-29,Active,Production       ,LinkedIn,Fully Meets,4,5,11.024657534246575
